run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,63.0444,7.9400,5.7731
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,79.7692,8.9314,6.4934
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,68.5467,8.2793,6.3616
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,75.5034,8.6893,6.5502
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,97.7156,9.8851,7.4513
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,69.6159,8.3436,6.4333
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,75.6733,8.6990,6.5499
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,95.7790,9.7867,7.3395
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,64.1938,8.0121,5.8954
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,68.1063,8.2527,6.3156
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,74.3597,8.6232,6.4542
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,96.1498,9.8056,7.3467
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,65.0751,8.0669,5.9350
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,71.2610,8.4416,5.9829
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_CheongJu.csv,74.4386,8.6278,6.9624
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,Broad_CheongJu.csv,78.4664,8.8581,7.0570
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_DaeJeon.csv,93.2698,9.6576,7.5887
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,KBS_DaeJeon.csv,67.4219,8.2111,6.3543
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,CMB_DaeJeon.csv,73.6804,8.5837,6.5278
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_ChungJu.csv,145.5205,12.0632,8.6784
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_CheongJu.csv,79.3074,8.9055,7.2220
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,Broad_CheongJu.csv,79.8967,8.9385,7.1095
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_DaeJeon.csv,91.5950,9.5705,7.5404
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,KBS_DaeJeon.csv,67.0402,8.1878,6.3152
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,CMB_DaeJeon.csv,74.5813,8.6360,6.6364
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_ChungJu.csv,140.9599,11.8727,8.5094
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,6,KBS_ChungJu.csv,KBS_ChungJu.csv,108.6772,10.4248,7.7454
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,MBC_CheongJu.csv,66.7759,8.1717,6.5262
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,Broad_CheongJu.csv,79.1122,8.8945,7.0057
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,MBC_DaeJeon.csv,101.0596,10.0528,7.8585
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,KBS_DaeJeon.csv,70.4099,8.3911,6.4192
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,CMB_DaeJeon.csv,77.5158,8.8043,6.6157
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,MBC_ChungJu.csv,151.9706,12.3276,8.8050
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,KBS_ChungJu.csv,121.3775,11.0171,8.1633
beta_0.1,True,0.5,0.1,64,2,5G_3.5G,7,KBS_main.csv,KBS_main.csv,47.7393,6.9094,5.1496
