run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,0,MBC_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,58.7213,7.6630,5.9793
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.4702,7.8403,6.2086
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.7421,8.0462,6.3144
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.3193,7.8307,6.2084
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,65.2072,8.0751,6.3990
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,75.0247,8.6617,6.9338
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,58.9320,7.6767,5.9917
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.2158,8.0135,6.2375
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.1557,8.7838,6.9358
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,60.3044,7.7656,6.0358
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,60.5498,7.7814,6.1423
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,65.2880,8.0801,6.3571
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.9777,8.8305,7.0395
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,62.0235,7.8755,6.1706
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,65.2003,8.0747,6.1919
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,64.2526,8.0158,6.4382
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,67.1799,8.1963,6.5118
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.7779,8.8192,7.0656
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,64.4901,8.0306,6.3689
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,67.4858,8.2150,6.3752
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,5,MBC_ChungJu_LTE_2.1G.csv,MBC_ChungJu_LTE_2.1G.csv,107.6437,10.3751,7.7298
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,62.3038,7.8933,6.2468
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,66.2274,8.1380,6.3976
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,79.2391,8.9016,7.0897
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,64.0626,8.0039,6.2956
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,66.6941,8.1666,6.2729
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,MBC_ChungJu_LTE_2.1G.csv,109.3559,10.4573,7.6443
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,6,KBS_ChungJu_LTE_2.1G.csv,KBS_ChungJu_LTE_2.1G.csv,123.8520,11.1289,7.8049
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.4334,7.8379,6.3044
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,68.7661,8.2925,6.6489
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,82.0420,9.0577,7.3204
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,67.3032,8.2039,6.5602
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,69.5729,8.3410,6.5382
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,MBC_ChungJu_LTE_2.1G.csv,112.2759,10.5960,8.0399
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,KBS_ChungJu_LTE_2.1G.csv,126.8918,11.2646,8.2332
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,7,KBS_main_LTE_2.1G.csv,KBS_main_LTE_2.1G.csv,44.1842,6.6471,4.9986
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,8,SBS_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.3235,7.8309,6.3123
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,8,SBS_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,69.1502,8.3157,6.6869
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,8,SBS_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,81.5536,9.0307,7.3042
alpha0.5_beta0.3_hd64_layer2_LTE_2.1G,beta_sweep,True,0.5,0.3,64,2,LTE_2.1G,8,SBS_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,66.6556,8.1643,6.5469
