use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,146.9256,12.1213,8.2096
True,1,Broad_CheongJu.csv,3455.5505,58.7839,56.0773
True,2,MBC_DaeJeon.csv,2827.7475,53.1766,49.7502
True,3,KBS_DaeJeon.csv,2548.8301,50.4859,46.9515
True,4,CMB_DaeJeon.csv,2285.5230,47.8071,44.2718
True,5,MBC_ChungJu.csv,2184.2403,46.7359,43.3375
True,6,KBS_ChungJu.csv,2010.9965,44.8441,41.3656
True,7,KBS_main.csv,2111.6963,45.9532,41.4626
True,8,SBS.csv,2147.3647,46.3397,41.6009
True,9,MBC_sa.csv,2037.4032,45.1376,40.4844
True,10,KBS_KangNeung.csv,2226.9326,47.1904,42.9741
True,11,MBC_KangNeung.csv,2379.6215,48.7814,44.5939
True,12,TBN_DaeGu.csv,1961.5727,44.2896,40.5726
True,13,TBC_DaeGu.csv,1879.6089,43.3545,39.5622
True,14,JeonJu_Radio.csv,1719.3495,41.4650,37.4474
True,15,KBS_JeonJu.csv,1789.1835,42.2987,38.3132
True,16,KBS_MokPo.csv,2076.5018,45.5686,41.0997
True,17,KBS_SunCheon.csv,1602.7484,40.0343,36.1824
True,18,KBS_GwangJu.csv,1713.3049,41.3921,37.5963
