use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,94.0215,9.6965,6.8196
True,1,Broad_CheongJu.csv,3332.5768,57.7285,56.1887
True,2,MBC_DaeJeon.csv,2930.2331,54.1316,52.6922
True,3,KBS_DaeJeon.csv,2657.9683,51.5555,49.9299
True,4,CMB_DaeJeon.csv,2423.1131,49.2251,47.6356
True,5,MBC_ChungJu.csv,2145.4299,46.3188,44.6580
True,6,KBS_ChungJu.csv,2238.8428,47.3164,45.6353
True,7,KBS_main.csv,2303.8092,47.9980,45.7551
True,8,SBS.csv,2142.4692,46.2868,43.7903
True,9,MBC_sa.csv,2061.7219,45.4062,42.8292
True,10,KBS_KangNeung.csv,2263.1970,47.5731,44.9348
True,11,MBC_KangNeung.csv,2269.1587,47.6357,44.6194
True,12,TBN_DaeGu.csv,1869.6222,43.2391,40.2666
True,13,TBC_DaeGu.csv,1810.5437,42.5505,39.4007
True,14,JeonJu_Radio.csv,1770.3722,42.0758,39.1413
True,15,KBS_JeonJu.csv,1788.1029,42.2860,39.3972
True,16,KBS_MokPo.csv,1996.8762,44.6864,41.4201
True,17,KBS_SunCheon.csv,1499.6944,38.7259,35.6203
True,18,KBS_GwangJu.csv,1737.9472,41.6887,38.8392
