run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
alpha_0.3,True,0.3,0,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
alpha_0.3,True,0.3,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,62.9244,7.9325,5.8367
alpha_0.3,True,0.3,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,78.9044,8.8828,6.5312
alpha_0.3,True,0.3,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,68.2610,8.2620,6.3884
alpha_0.3,True,0.3,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,75.5947,8.6945,6.5989
alpha_0.3,True,0.3,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,96.7887,9.8381,7.4717
alpha_0.3,True,0.3,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,68.8894,8.3000,6.4242
alpha_0.3,True,0.3,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,75.0108,8.6609,6.5573
alpha_0.3,True,0.3,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,94.8884,9.7411,7.3828
alpha_0.3,True,0.3,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,64.1439,8.0090,5.9470
alpha_0.3,True,0.3,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,70.1089,8.3731,6.4985
alpha_0.3,True,0.3,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,74.8084,8.6492,6.5601
alpha_0.3,True,0.3,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,92.8494,9.6358,7.2920
alpha_0.3,True,0.3,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,63.7840,7.9865,5.9270
alpha_0.3,True,0.3,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,71.1824,8.4370,6.0813
alpha_0.3,True,0.3,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_CheongJu.csv,74.6141,8.6379,6.9551
alpha_0.3,True,0.3,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,Broad_CheongJu.csv,77.3528,8.7950,6.9523
