method,num_tasks,avg_accuracy_mse,bwt_mse
Naive,19,92.0091792826067,20.054707681691205
ER,19,83.58417547376531,1.3286170208895658
EWC,19,123.05185865101059,-12.54173837767707
LwF,19,89.28089893073366,-8.963245073954262
