run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
alpha_0.1,True,0.1,0,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
alpha_0.1,True,0.1,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,62.7732,7.9230,5.7566
alpha_0.1,True,0.1,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,80.1176,8.9508,6.5201
alpha_0.1,True,0.1,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,66.7865,8.1723,6.3092
alpha_0.1,True,0.1,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,76.2686,8.7332,6.6354
alpha_0.1,True,0.1,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,100.0560,10.0028,7.6527
alpha_0.1,True,0.1,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,68.7646,8.2924,6.3924
alpha_0.1,True,0.1,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,74.8708,8.6528,6.5217
alpha_0.1,True,0.1,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,95.9251,9.7941,7.3566
alpha_0.1,True,0.1,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,64.9354,8.0583,5.9459
alpha_0.1,True,0.1,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,70.1201,8.3738,6.4685
alpha_0.1,True,0.1,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,74.8086,8.6492,6.5407
alpha_0.1,True,0.1,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,94.0595,9.6984,7.3154
alpha_0.1,True,0.1,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,64.0637,8.0040,5.9085
alpha_0.1,True,0.1,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,71.6122,8.4624,6.0573
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_CheongJu.csv,74.5196,8.6325,6.9080
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,Broad_CheongJu.csv,76.3193,8.7361,6.8528
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_DaeJeon.csv,91.2387,9.5519,7.4116
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,KBS_DaeJeon.csv,64.0191,8.0012,6.0793
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,CMB_DaeJeon.csv,72.2278,8.4987,6.3398
alpha_0.1,True,0.1,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_ChungJu.csv,149.3270,12.2199,8.5673
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_CheongJu.csv,75.8576,8.7096,7.0727
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,Broad_CheongJu.csv,77.4069,8.7981,6.9903
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_DaeJeon.csv,90.3184,9.5036,7.4608
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,KBS_DaeJeon.csv,65.1204,8.0697,6.2126
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,CMB_DaeJeon.csv,73.2253,8.5572,6.4766
alpha_0.1,True,0.1,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_ChungJu.csv,145.7105,12.0711,8.6046
