use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,146.5737,12.1068,8.6439
True,1,Broad_CheongJu.csv,3553.8470,59.6142,57.8646
True,2,MBC_DaeJeon.csv,3039.6756,55.1333,52.8304
True,3,KBS_DaeJeon.csv,2623.3910,51.2190,48.6355
True,4,CMB_DaeJeon.csv,2390.7268,48.8951,45.9822
True,5,MBC_ChungJu.csv,2067.4401,45.4691,43.0715
True,6,KBS_ChungJu.csv,2137.6560,46.2348,43.8454
True,7,KBS_main.csv,2203.5060,46.9415,43.4657
True,8,SBS.csv,2218.5456,47.1014,43.5441
True,9,MBC_sa.csv,2032.8169,45.0868,41.4449
True,10,KBS_KangNeung.csv,2234.7414,47.2731,43.9654
True,11,MBC_KangNeung.csv,2310.3659,48.0663,44.9175
True,12,TBN_DaeGu.csv,1835.4725,42.8424,39.5507
True,13,TBC_DaeGu.csv,1898.0475,43.5666,40.3228
True,14,JeonJu_Radio.csv,1745.7862,41.7826,38.5006
True,15,KBS_JeonJu.csv,1878.7794,43.3449,40.2237
True,16,KBS_MokPo.csv,2127.4469,46.1243,42.4353
True,17,KBS_SunCheon.csv,1599.2852,39.9911,36.6504
True,18,KBS_GwangJu.csv,1769.9923,42.0713,39.1579
