run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,81.2475,9.0137,7.3851
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,77.6324,8.8109,7.1236
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,73.2185,8.5568,6.8829
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,64.5804,8.0362,6.3276
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,76.2111,8.7299,6.8465
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,94.9574,9.7446,7.4300
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,6,KBS_ChungJu_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,110.8812,10.5300,7.5571
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,52.5938,7.2522,5.5197
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,63.8225,7.9889,6.0581
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,81.0759,9.0042,6.9946
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,61.8809,7.8664,6.0487
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,67.9370,8.2424,6.1105
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,117.5581,10.8424,7.7190
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,135.6899,11.6486,7.9812
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,7,KBS_main_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,39.5182,6.2863,4.5510
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,52.3468,7.2351,5.4830
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,62.0921,7.8799,5.9226
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,77.4388,8.7999,6.7998
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,59.5190,7.7149,5.8805
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,66.1979,8.1362,6.0065
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,116.4652,10.7919,7.6706
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,134.8172,11.6111,7.8946
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,41.3824,6.4329,4.6610
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,8,SBS_LTE_1.8G.csv,SBS_LTE_1.8G.csv,39.0289,6.2473,4.5393
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,61.2873,7.8286,6.2597
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,65.5983,8.0993,6.4010
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,72.4897,8.5141,6.9182
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,61.7065,7.8554,6.3156
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,68.1858,8.2575,6.5018
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,104.6571,10.2302,7.8009
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,123.0756,11.0939,8.1097
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,49.6119,7.0436,5.4187
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,SBS_LTE_1.8G.csv,46.8918,6.8478,5.2568
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,9,MBC_sa_LTE_1.8G.csv,MBC_sa_LTE_1.8G.csv,74.8725,8.6529,6.4709
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,74.5340,8.6333,7.0773
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,77.0623,8.7785,7.1320
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,79.6318,8.9237,7.3013
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,70.6312,8.4042,6.7943
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,76.2055,8.7296,6.9073
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,102.4330,10.1209,7.8577
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,115.5537,10.7496,8.1321
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,61.5064,7.8426,6.2635
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,SBS_LTE_1.8G.csv,60.5774,7.7831,6.1117
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,MBC_sa_LTE_1.8G.csv,87.8938,9.3752,7.2780
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,10,KBS_KangNeung_LTE_1.8G.csv,KBS_KangNeung_LTE_1.8G.csv,72.4965,8.5145,5.8218
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,66.0353,8.1262,6.5533
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,71.7218,8.4689,6.8007
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,79.3515,8.9079,7.1709
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,66.5842,8.1599,6.4909
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,71.6173,8.4627,6.5539
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,104.3867,10.2170,7.6953
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,118.0907,10.8670,7.9073
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,54.6829,7.3948,5.8109
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,SBS_LTE_1.8G.csv,53.7157,7.3291,5.6363
