run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,68.8877,8.2999,5.4139
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,94.6819,9.7305,6.5450
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,65.0283,8.0640,5.7236
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,80.7761,8.9876,6.4068
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,118.0088,10.8632,7.9150
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,65.2266,8.0763,5.8588
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,79.2111,8.9001,6.4354
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,111.4997,10.5593,7.7574
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,72.2132,8.4978,6.0999
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,67.1397,8.1939,5.9560
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,76.6018,8.7522,6.3211
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,107.1422,10.3510,7.5200
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,70.3068,8.3849,5.9639
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,74.3176,8.6208,5.9134
beta_0.7,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_CheongJu.csv,72.3829,8.5078,6.6735
