use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,138.5442,11.7705,7.9735
True,1,Broad_CheongJu.csv,135.4485,11.6382,7.8902
True,2,MBC_DaeJeon.csv,130.9774,11.4445,7.9383
True,3,KBS_DaeJeon.csv,139.0682,11.7927,8.1478
True,4,CMB_DaeJeon.csv,135.2226,11.6285,8.0673
True,5,MBC_ChungJu.csv,129.8026,11.3931,8.2305
True,6,KBS_ChungJu.csv,132.9903,11.5321,8.4346
True,7,KBS_main.csv,116.2329,10.7811,7.8379
True,8,SBS.csv,114.7224,10.7109,7.6552
True,9,MBC_sa.csv,114.5942,10.7049,7.7139
True,10,KBS_KangNeung.csv,98.2971,9.9145,7.3447
True,11,MBC_KangNeung.csv,97.3747,9.8679,7.2805
True,12,TBN_DaeGu.csv,97.9845,9.8987,7.3550
True,13,TBC_DaeGu.csv,98.0225,9.9006,7.3374
True,14,JeonJu_Radio.csv,96.7037,9.8338,7.2797
True,15,KBS_JeonJu.csv,97.0452,9.8512,7.2742
True,16,KBS_MokPo.csv,100.5069,10.0253,7.2082
True,17,KBS_SunCheon.csv,101.0373,10.0517,7.8669
True,18,KBS_GwangJu.csv,96.8956,9.8436,7.1888
