run_name,sweep_tag,use_replay,alpha,hidden_dim,layer_num,stage,stage_task,eval_task,mse,rmse,mae
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,0,SBS_Seoul.csv,SBS_Seoul.csv,39.9080,6.3173,4.2907
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,1,KBS_KangNeung.csv,SBS_Seoul.csv,77.8899,8.8255,6.8365
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,1,KBS_KangNeung.csv,KBS_KangNeung.csv,85.5398,9.2488,6.2545
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,2,MBC_CheongJu.csv,SBS_Seoul.csv,50.4825,7.1051,5.0673
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,2,MBC_CheongJu.csv,KBS_KangNeung.csv,243.7815,15.6135,12.3184
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,2,MBC_CheongJu.csv,MBC_CheongJu.csv,69.6891,8.3480,5.8449
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,3,MBC_ChungJu.csv,SBS_Seoul.csv,88.5776,9.4116,7.5080
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,3,MBC_ChungJu.csv,KBS_KangNeung.csv,292.8809,17.1138,13.4682
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,3,MBC_ChungJu.csv,MBC_CheongJu.csv,99.7792,9.9890,8.1845
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,3,MBC_ChungJu.csv,MBC_ChungJu.csv,128.6963,11.3444,8.7740
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,4,KBS_DaeJeon.csv,SBS_Seoul.csv,69.8034,8.3548,6.3175
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,4,KBS_DaeJeon.csv,KBS_KangNeung.csv,390.7180,19.7666,15.2250
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,4,KBS_DaeJeon.csv,MBC_CheongJu.csv,76.4199,8.7418,6.5151
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,4,KBS_DaeJeon.csv,MBC_ChungJu.csv,162.8066,12.7596,8.8109
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,4,KBS_DaeJeon.csv,KBS_DaeJeon.csv,72.0597,8.4888,6.1567
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,SBS_Seoul.csv,54.3589,7.3728,5.6566
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,KBS_KangNeung.csv,243.8773,15.6166,12.3008
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,MBC_CheongJu.csv,72.1562,8.4945,6.5563
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,MBC_ChungJu.csv,153.1224,12.3743,9.1508
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,KBS_DaeJeon.csv,87.6643,9.3629,7.2139
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,5,TBN_DaeGu.csv,TBN_DaeGu.csv,114.1763,10.6853,7.4325
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,SBS_Seoul.csv,160.5219,12.6697,10.5352
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,KBS_KangNeung.csv,293.0322,17.1182,14.3477
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,MBC_CheongJu.csv,195.1369,13.9691,11.8344
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,MBC_ChungJu.csv,161.9944,12.7277,10.3048
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,KBS_DaeJeon.csv,140.6239,11.8585,9.7011
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,TBN_DaeGu.csv,208.3163,14.4332,12.0070
MLP_3_sweep_alpha0.5_hd64_layer2,MLP_3_sweep,False,0.5,64,2,6,KBS_SunCheon.csv,KBS_SunCheon.csv,179.1556,13.3849,10.4993
