task,PL0,n,sigma_X,mse,rmse,mae
MBC_CheongJu_LTE_2.1G.csv,-14.59760817958491,3.8965625226378635,10.496561003938314,109.85421439051048,10.481136121170762,7.488926208019108
Broad_CheongJu_LTE_2.1G.csv,-8.542529072770995,3.793073414137433,10.837403833273317,109.54992384508735,10.466609949983201,7.6952092078814625
MBC_DaeJeon_LTE_2.1G.csv,15.47374946303296,3.327276933457853,10.312448747959479,102.04255448611308,10.101611479665662,7.48585106182641
KBS_DaeJeon_LTE_2.1G.csv,7.697010657438881,3.477090562947235,9.609751467021663,91.36726934993231,9.558622774748061,6.912013394370705
CMB_DaeJeon_LTE_2.1G.csv,2.949556622992232,3.5705637253930265,10.31159351874616,106.70180186529379,10.32965642532673,7.33243905393931
MBC_ChungJu_LTE_2.1G.csv,-18.14977857906582,4.163502966451243,12.291560801766598,153.85789292963943,12.403946667478035,9.24551348969135
KBS_ChungJu_LTE_2.1G.csv,-20.928471463972187,4.222277480913777,11.634193684040287,142.72108084076532,11.946592854900736,8.940913940466212
KBS_main_LTE_2.1G.csv,-10.358964615202382,3.7390995248790455,10.386211958551803,110.30761499652542,10.502743212919443,8.140432203187315
SBS_LTE_2.1G.csv,-5.354217734829149,3.624086588467869,9.992287470830785,98.53673068107227,9.926566913141334,7.479204326787237
MBC_sa_LTE_2.1G.csv,8.381830384580198,3.3864346126836042,11.89862988469825,147.22912965837867,12.133801121593294,8.781133686997837
KBS_KangNeung_LTE_2.1G.csv,-18.798043435670053,3.903012532882858,20.969813580133323,443.407811830754,21.057250813692512,17.906432839725834
MBC_KangNeung_LTE_2.1G.csv,-43.71587606536551,4.363830427624438,20.740014203154573,429.57330180803876,20.726150192644045,18.424036169084825
TBN_DaeGu_LTE_2.1G.csv,-26.90254257242667,4.293044947954416,13.696350622144855,197.74386733013733,14.062143056097009,9.663594717453202
TBC_DaeGu_LTE_2.1G.csv,-14.223329819891234,4.057070666243484,12.614335292481814,158.0517765735311,12.5718644827858,8.768800297600958
JeonJu_Radio_LTE_2.1G.csv,-10.557137256078597,3.86186288744783,12.152672896398872,146.59695178292336,12.107722815745468,8.843497019810208
KBS_JeonJu_LTE_2.1G.csv,-22.60225131390178,4.10084304389512,11.73478546791122,141.41964379561762,11.891999150505251,8.796208416112806
KBS_MokPo_LTE_2.1G.csv,7.141899950382335,3.247934087723932,10.312631350395487,109.873043422933,10.482034317007981,8.352644537476973
KBS_SunCheon_LTE_2.1G.csv,6.4450932568403125,3.707832551328012,14.55145764880704,207.48398774843102,14.40430448679946,11.362499031645223
KBS_GwangJu_LTE_2.1G.csv,-33.35706400501858,4.322450618889556,11.657910777473713,131.4645942434038,11.465801072903881,8.449595135825307
