use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,136.0952,11.6660,7.9724
True,1,Broad_CheongJu.csv,139.3465,11.8045,8.0556
True,2,MBC_DaeJeon.csv,132.1502,11.4957,8.0312
True,3,KBS_DaeJeon.csv,137.5877,11.7298,8.0750
True,4,CMB_DaeJeon.csv,134.7238,11.6071,8.0518
True,5,MBC_ChungJu.csv,139.6913,11.8191,8.7303
True,6,KBS_ChungJu.csv,141.2466,11.8847,8.9757
True,7,KBS_main.csv,119.0845,10.9126,7.5690
True,8,SBS.csv,124.7489,11.1691,7.5992
True,9,MBC_sa.csv,115.1238,10.7296,7.7483
True,10,KBS_KangNeung.csv,100.5314,10.0265,7.5121
True,11,MBC_KangNeung.csv,100.3525,10.0176,7.5759
True,12,TBN_DaeGu.csv,99.3839,9.9691,7.4005
True,13,TBC_DaeGu.csv,99.8189,9.9909,7.6843
True,14,JeonJu_Radio.csv,98.1013,9.9046,7.3289
True,15,KBS_JeonJu.csv,98.2829,9.9138,7.1859
True,16,KBS_MokPo.csv,106.2401,10.3073,7.1385
True,17,KBS_SunCheon.csv,109.9326,10.4849,8.6019
True,18,KBS_GwangJu.csv,100.2586,10.0129,7.0330
