,R,D,H,PL,F,freq_band
0,39800.068022975785,1191.0651891780185,94.0,171.66216078225844,9.544068044350276,5G_3.5G
1,13326.737644024422,8489.050926455655,68.0,156.20937551188842,9.544068044350276,5G_3.5G
2,51937.08335879512,1997.8311114663904,86.0,191.9441246672613,9.544068044350276,5G_3.5G
3,44083.6225631674,3146.9487814694985,13.0,170.1575341178667,9.544068044350276,5G_3.5G
4,39221.94473723191,3528.421131538284,120.0,169.1941717405693,9.544068044350276,5G_3.5G
5,18377.468088977934,7158.3431638769725,316.0,168.986868278468,9.544068044350276,5G_3.5G
6,25951.150978451504,924.6623215984688,26.0,158.91455805102265,9.544068044350276,5G_3.5G
7,15841.16961219744,13586.561868614974,43.0,154.6219679113863,9.544068044350276,5G_3.5G
8,25093.848528344617,22767.039880853317,73.0,160.36883683198312,9.544068044350276,5G_3.5G
9,25821.238862407212,19208.5764986094,81.0,161.6911389927169,9.544068044350276,5G_3.5G
10,16489.045518411283,14111.507458790624,71.0,157.00978823401329,9.544068044350276,5G_3.5G
11,64188.761116586575,2379.7912860861256,185.0,208.82748011602533,9.544068044350276,5G_3.5G
12,45403.896672916206,2773.5746472536707,151.0,181.5371602237363,9.544068044350276,5G_3.5G
13,45999.43502879944,1194.2739633876508,245.0,178.02522709359812,9.544068044350276,5G_3.5G
14,39561.87480105369,37325.86932341167,60.0,162.42246444526307,9.544068044350276,5G_3.5G
15,42583.45123963132,751.0047605263815,125.0,205.07225351974623,9.544068044350276,5G_3.5G
16,14649.54705545855,8028.769676606193,67.0,156.94808753701855,9.544068044350276,5G_3.5G
17,26245.78752963678,2387.189963143136,78.0,176.06057524843845,9.544068044350276,5G_3.5G
18,30325.20043788722,3154.679968349445,12.0,161.89664664828203,9.544068044350276,5G_3.5G
19,50168.76592814451,1194.9776587223218,130.0,176.45539882086945,9.544068044350276,5G_3.5G
20,46968.04507715659,44634.74976976577,-23.0,164.8130493411294,9.544068044350276,5G_3.5G
21,39960.568048434274,754.160421579201,98.0,189.8066861145589,9.544068044350276,5G_3.5G
22,58049.752913704986,5971.748249782306,96.0,190.61965044165456,9.544068044350276,5G_3.5G
23,33235.94225045675,17481.224978059796,-110.0,169.76545424868425,9.544068044350276,5G_3.5G
24,13140.217894719744,1849.2115271429443,253.0,169.88583578319438,9.544068044350276,5G_3.5G
25,35096.28922008617,20319.670611913767,-295.0,162.61884532687267,9.544068044350276,5G_3.5G
26,26430.847626512543,1193.4603544455065,75.0,174.4957042001726,9.544068044350276,5G_3.5G
27,6094.254398042976,2259.2544500448,24.0,147.28009501116503,9.544068044350276,5G_3.5G
28,29813.290722372258,24964.38327731111,83.0,162.87065688368244,9.544068044350276,5G_3.5G
29,47858.25579828698,3145.104483181784,24.0,170.85947173451328,9.544068044350276,5G_3.5G
30,34613.23290944887,12113.813551981037,265.0,170.1138250933603,9.544068044350276,5G_3.5G
31,5748.301653999622,2874.002357632744,-6.0,120.46229158418222,9.544068044350276,5G_3.5G
32,23171.381350856493,5305.299774514035,127.0,172.61940804948327,9.544068044350276,5G_3.5G
33,66030.3187667062,56946.6069574082,-143.0,174.41800845801072,9.544068044350276,5G_3.5G
34,44722.012980177344,924.6545185062082,79.0,197.155870539908,9.544068044350276,5G_3.5G
35,37150.64695502485,1194.173626568633,140.0,206.19447098628035,9.544068044350276,5G_3.5G
36,46383.17712569013,21319.361848883156,398.0,174.7903328382245,9.544068044350276,5G_3.5G
37,59625.54655324059,924.4843868368396,12.0,184.83477350725104,9.544068044350276,5G_3.5G
38,33935.597361455984,31531.40640698992,125.0,167.99179367260962,9.544068044350276,5G_3.5G
