,R,D,H,PL,F,freq_band
0,13258.183121437212,12137.915097861614,12.0,125.77882437247004,9.544068044350276,5G_3.5G
1,5120.605820023994,4304.415350123643,-4.0,117.51557101875264,9.544068044350276,5G_3.5G
2,31435.963985541774,30511.434350707677,27.0,139.0648101712201,9.544068044350276,5G_3.5G
3,29074.54192571596,1181.4370292801768,28.0,167.4476665077085,9.544068044350276,5G_3.5G
4,57767.47615899381,56588.004225131976,12.0,138.56281198449966,9.544068044350276,5G_3.5G
5,50868.76539932749,49757.8766378869,12.0,137.45816805484563,9.544068044350276,5G_3.5G
6,36928.33432003583,34578.14456776211,6.0,134.67633848723668,9.544068044350276,5G_3.5G
7,43553.1028131861,26288.601947001443,245.0,171.38781686631728,9.544068044350276,5G_3.5G
8,39652.98724557803,8262.748651294758,316.0,176.58725343674175,9.544068044350276,5G_3.5G
9,57522.43141052006,56341.85453502179,12.0,138.525888807239,9.544068044350276,5G_3.5G
10,61666.411509848265,738.6659289976927,88.0,213.26112018177756,9.544068044350276,5G_3.5G
11,20570.15455332484,5457.685318323862,-42.0,162.58763337022123,9.544068044350276,5G_3.5G
12,50102.55821023285,2364.9283851882824,119.0,176.4914345332467,9.544068044350276,5G_3.5G
13,16090.303312290174,14938.758225785074,12.0,127.4604287268699,9.544068044350276,5G_3.5G
14,35747.340980267065,34839.006766489256,27.0,140.0439710053504,9.544068044350276,5G_3.5G
15,25354.756542578303,24479.81368687415,27.0,137.47255373212425,9.544068044350276,5G_3.5G
16,11679.486228006312,5840.112679898464,25.0,138.4969757310838,9.544068044350276,5G_3.5G
17,29724.78534792697,6672.672616826247,236.0,176.6396821180925,9.544068044350276,5G_3.5G
18,22186.58608447896,19277.52222068929,8.0,130.2509537328566,9.544068044350276,5G_3.5G
19,30390.98001920701,28701.29178492769,10.0,132.9840382092513,9.544068044350276,5G_3.5G
20,38084.66441696568,37164.500238462526,27.0,140.5329725219366,9.544068044350276,5G_3.5G
21,31062.04476878595,20712.738872515103,214.0,167.14355145731506,9.544068044350276,5G_3.5G
22,50538.17414547752,2868.8448767014347,296.0,180.07534191276497,9.544068044350276,5G_3.5G
23,44747.93702840353,43686.85969689855,12.0,136.3446044738459,9.544068044350276,5G_3.5G
24,52822.36300714715,1179.1415596025995,258.0,182.5801357603328,9.544068044350276,5G_3.5G
25,53428.41372255293,52516.585264437694,27.0,143.20689678056988,9.544068044350276,5G_3.5G
26,49049.93497230768,924.5717168110292,187.0,180.24820114974125,9.544068044350276,5G_3.5G
27,39575.58632179655,37415.99528922592,6.0,135.27769126406676,9.544068044350276,5G_3.5G
28,47299.395736685256,46524.18379200719,27.0,142.23392858386748,9.544068044350276,5G_3.5G
29,29815.549222367332,1990.401641227404,176.0,175.45217903164206,9.544068044350276,5G_3.5G
30,15807.00392224305,2359.222166169304,15.0,146.10416962275326,9.544068044350276,5G_3.5G
31,4599.493579669733,3468.5729081469544,12.0,116.58334444833622,9.544068044350276,5G_3.5G
32,25059.99049438915,6513.368696945215,380.0,174.29814258039934,9.544068044350276,5G_3.5G
33,34405.07633100011,924.4806825606634,89.0,172.28334236449604,9.544068044350276,5G_3.5G
34,43648.08907335763,6899.147346764716,328.0,177.11253832784686,9.544068044350276,5G_3.5G
