region,freq_band,mse,rmse,mae,n_test
SBS_Seoul,LTE_900M,33.92221239864807,5.824277843531168,4.1395879135367455,2823
SBS_Seoul,LTE_1.8G,37.14234338445436,6.094451852665205,4.261508096840333,2823
SBS_Seoul,LTE_2.1G,39.255696674461824,6.26543667069278,4.297062154767505,2823
SBS_Seoul,5G_3.5G,45.98446197794936,6.781184408195176,4.7192067862308535,2823
SBS_Seoul,6G_7.125G,52.376294768573004,7.237146866588587,5.040187984433854,2823
SBS_Seoul,6G_14.8G,69.47675284181649,8.33527161176026,5.63007191934956,2823
MBC_CheongJu,LTE_900M,53.961169546548184,7.345826675504139,5.172659303852296,2823
MBC_CheongJu,LTE_1.8G,56.639197762197945,7.525901790629343,5.299070161477126,2823
MBC_CheongJu,LTE_2.1G,53.93333970130132,7.343932168892992,5.101089623877933,2823
MBC_CheongJu,5G_3.5G,65.14205046770203,8.07106253647573,5.718021441757711,2823
MBC_CheongJu,6G_7.125G,77.7622196360865,8.818288929043236,6.24981980820266,2823
MBC_CheongJu,6G_14.8G,97.31236904222543,9.864703190782043,7.093394851596292,2823
MBC_ChungJu,LTE_900M,81.72050937020695,9.039939677354432,6.976329990734242,2823
MBC_ChungJu,LTE_1.8G,102.39785413779192,10.119182483668922,7.979438775039942,2823
MBC_ChungJu,LTE_2.1G,105.80678309695178,10.286242418733469,8.158773216344606,2823
MBC_ChungJu,5G_3.5G,125.9269974381371,11.221719896617323,8.921315074309849,2823
MBC_ChungJu,6G_7.125G,159.1465646929262,12.615330542357034,10.172258260245854,2823
MBC_ChungJu,6G_14.8G,204.36201036000625,14.29552413729578,11.571601151319205,2823
MBC_DaeJeon,LTE_900M,51.22354337389478,7.157062482184627,5.400726454836245,2823
MBC_DaeJeon,LTE_1.8G,65.59345950028617,8.098978917140492,6.062385057120086,2823
MBC_DaeJeon,LTE_2.1G,69.66934936048516,8.346816720192505,6.25974952777391,2823
MBC_DaeJeon,5G_3.5G,79.32705121676094,8.906573483487403,6.939339644011351,2823
MBC_DaeJeon,6G_7.125G,104.75981333931891,10.235224146999366,7.9225270352715444,2823
MBC_DaeJeon,6G_14.8G,132.15637695470343,11.495928712144288,9.07522009421616,2823
JeonJu_Radio,LTE_900M,62.68475251390136,7.917370302941587,5.813830764127177,2823
JeonJu_Radio,LTE_1.8G,80.49204802495252,8.971736065274799,6.564519964858697,2823
JeonJu_Radio,LTE_2.1G,84.73502167205775,9.205162772708462,6.711244541184119,2823
JeonJu_Radio,5G_3.5G,93.55782774679756,9.672529542306787,7.220681420497678,2823
JeonJu_Radio,6G_7.125G,132.76101904415992,11.522196797666664,8.502426536139565,2823
JeonJu_Radio,6G_14.8G,154.95265896481337,12.447998191067244,9.315137778860542,2823
KBS_SunCheon,LTE_900M,119.87178556012921,10.948597424333823,8.808834609199831,2823
KBS_SunCheon,LTE_1.8G,144.72196391472474,12.030044219150849,9.781999706447293,2823
KBS_SunCheon,LTE_2.1G,153.15866131072744,12.375728718371596,10.05080548129415,2823
KBS_SunCheon,5G_3.5G,181.91256608616285,13.487496657503305,11.065840478843693,2823
KBS_SunCheon,6G_7.125G,233.11503162006645,15.268105043523457,12.639378998352532,2823
KBS_SunCheon,6G_14.8G,282.99280317241937,16.822389936403788,13.998490114533944,2823
TBC_DaeGu,LTE_900M,79.76652158613948,8.93121053307666,6.5865795400680565,2823
TBC_DaeGu,LTE_1.8G,89.23437550559997,9.446394841716069,7.0191139123785575,2823
TBC_DaeGu,LTE_2.1G,105.06389874896558,10.25006823142976,7.604818059066382,2823
TBC_DaeGu,5G_3.5G,112.36283836966416,10.600133884515994,7.8229304294603965,2823
TBC_DaeGu,6G_7.125G,134.18038479210273,11.583625718750703,8.799470924386792,2823
TBC_DaeGu,6G_14.8G,163.08165687490973,12.77034286442262,9.632600667675286,2823
KBS_KangNeung,LTE_900M,67.90437923819506,8.240411351273373,5.541096613215295,2823
KBS_KangNeung,LTE_1.8G,81.22672055209759,9.012586784719334,6.218081574655575,2823
KBS_KangNeung,LTE_2.1G,93.90703330991454,9.69056413785671,6.649923410582164,2823
KBS_KangNeung,5G_3.5G,95.41864882044582,9.768246967621458,6.712264567209849,2823
KBS_KangNeung,6G_7.125G,129.10172160332903,11.362293853061935,7.89268271367455,2823
KBS_KangNeung,6G_14.8G,131.98836402679783,11.488618891180865,8.349904505333463,2823
