global_epoch,task,epoch_in_task,train_loss,val_loss
1,MBC_CheongJu.csv,1,28693.778157552082,28118.812065972223
2,MBC_CheongJu.csv,2,27764.984375,26822.80837673611
3,MBC_CheongJu.csv,3,26070.01784939236,24654.692491319445
4,MBC_CheongJu.csv,4,23419.15966796875,21445.53298611111
5,MBC_CheongJu.csv,5,19702.54465060764,17121.902018229168
6,MBC_CheongJu.csv,6,14961.73158094618,12070.34375
7,MBC_CheongJu.csv,7,9854.831976996527,7104.9384765625
8,MBC_CheongJu.csv,8,5239.854119194879,3259.5048556857637
9,MBC_CheongJu.csv,9,2258.164486355252,1492.0648735894097
10,MBC_CheongJu.csv,10,1153.791483561198,897.6308932834202
11,MBC_CheongJu.csv,11,694.541258070204,543.5912509494358
12,MBC_CheongJu.csv,12,415.34883880615234,328.06687418619794
13,MBC_CheongJu.csv,13,249.58665042453342,198.52249145507812
14,MBC_CheongJu.csv,14,157.1048723856608,126.93758900960286
15,MBC_CheongJu.csv,15,108.04787148369684,91.23707834879558
16,MBC_CheongJu.csv,16,85.45523283216689,82.16245651245117
17,MBC_CheongJu.csv,17,77.9262866973877,73.45859951443143
18,MBC_CheongJu.csv,18,75.48046313391791,71.21907891167535
19,MBC_CheongJu.csv,19,73.62086508009169,70.31547207302518
20,MBC_CheongJu.csv,20,72.5666955312093,69.64614486694336
21,MBC_CheongJu.csv,21,73.0536674923367,68.33713785807292
22,MBC_CheongJu.csv,22,72.49161264631483,68.31101481119792
23,MBC_CheongJu.csv,23,72.15670320722792,68.20521503024631
24,MBC_CheongJu.csv,24,71.91390917036269,68.39951578776042
25,MBC_CheongJu.csv,25,71.33075724707709,66.86682891845703
26,MBC_CheongJu.csv,26,70.8357457054986,66.6003172132704
27,MBC_CheongJu.csv,27,70.28869893815782,66.67398834228516
28,MBC_CheongJu.csv,28,70.00644821590848,66.54101520114475
29,MBC_CheongJu.csv,29,69.91295941670735,65.82626300387912
30,MBC_CheongJu.csv,30,69.4468043645223,65.80639606051975
31,MBC_CheongJu.csv,31,70.03252029418945,67.84359656439887
32,MBC_CheongJu.csv,32,69.03129069010417,65.2769135369195
33,MBC_CheongJu.csv,33,69.00204425387912,65.83473459879558
34,MBC_CheongJu.csv,34,69.09902996487088,64.90037155151367
35,MBC_CheongJu.csv,35,69.20896519554987,64.91347461276584
36,MBC_CheongJu.csv,36,68.6666465335422,65.95993041992188
37,MBC_CheongJu.csv,37,69.17659653557672,64.9930911593967
38,MBC_CheongJu.csv,38,68.31311628553603,64.42699940999348
39,MBC_CheongJu.csv,39,67.96121162838406,64.39107047186957
40,MBC_CheongJu.csv,40,68.43814288245306,63.86531490749783
41,MBC_CheongJu.csv,41,68.50842475891113,63.763842264811196
42,MBC_CheongJu.csv,42,67.92179192437067,64.04762437608507
43,MBC_CheongJu.csv,43,67.20582008361816,63.967303382025825
44,MBC_CheongJu.csv,44,67.78521389431424,63.64400736490885
45,MBC_CheongJu.csv,45,68.26142364078098,63.70513576931424
46,MBC_CheongJu.csv,46,67.99732621510823,63.60792965359158
47,MBC_CheongJu.csv,47,67.18521001603868,63.34394454956055
48,MBC_CheongJu.csv,48,67.97580750783284,63.83584637112088
49,MBC_CheongJu.csv,49,67.18336900075276,63.27302339341905
50,MBC_CheongJu.csv,50,67.07702350616455,62.92124387953017
51,MBC_CheongJu.csv,51,66.29322497049968,62.85550053914388
52,MBC_CheongJu.csv,52,66.67614375220404,62.633917066786026
53,MBC_CheongJu.csv,53,66.51422458224826,62.748394860161675
54,MBC_CheongJu.csv,54,66.30210367838542,62.511180029975044
55,MBC_CheongJu.csv,55,66.88854153951009,62.42784712049696
56,MBC_CheongJu.csv,56,66.32363277011447,62.36734305487739
57,MBC_CheongJu.csv,57,66.30218336317274,62.17721176147461
58,MBC_CheongJu.csv,58,66.51059457990858,62.1600833468967
59,MBC_CheongJu.csv,59,66.69322289360895,62.11390601264106
60,MBC_CheongJu.csv,60,65.96542761060927,62.00455983479818
61,MBC_CheongJu.csv,61,66.56136682298448,62.7548573811849
62,MBC_CheongJu.csv,62,65.61072137620714,62.195162031385635
63,MBC_CheongJu.csv,63,65.01878394020929,61.9004160563151
64,MBC_CheongJu.csv,64,65.26020897759332,61.85780249701606
65,MBC_CheongJu.csv,65,66.02015071445041,62.126594119601776
66,MBC_CheongJu.csv,66,65.41451496548123,62.05593999226888
67,MBC_CheongJu.csv,67,65.98104731241862,61.77606455485026
68,MBC_CheongJu.csv,68,65.17155848609076,61.640355851915146
69,MBC_CheongJu.csv,69,65.78473938835992,61.53499518500434
70,MBC_CheongJu.csv,70,65.32834921942816,61.50321367051866
71,MBC_CheongJu.csv,71,65.46593401167128,61.524539947509766
72,MBC_CheongJu.csv,72,65.5796635945638,61.67753389146593
73,MBC_CheongJu.csv,73,65.19840314653185,61.433010525173614
74,MBC_CheongJu.csv,74,66.27371904585097,61.6355103386773
75,MBC_CheongJu.csv,75,65.17833868662517,61.301261478000214
76,MBC_CheongJu.csv,76,65.11064900292291,61.37058809068468
77,MBC_CheongJu.csv,77,65.45345698462592,61.36591000027127
78,MBC_CheongJu.csv,78,64.873046875,61.35226567586263
79,MBC_CheongJu.csv,79,65.04249223073323,61.23361333211263
80,MBC_CheongJu.csv,80,64.70461813608806,61.25844362046983
81,MBC_CheongJu.csv,81,65.33387035793729,61.271405114067925
82,MBC_CheongJu.csv,82,64.64738792843289,61.25679016113281
83,MBC_CheongJu.csv,83,65.26624552408855,61.19488652547201
84,MBC_CheongJu.csv,84,65.29600397745769,61.30944697062174
85,MBC_CheongJu.csv,85,65.40942658318414,61.22538969251845
86,MBC_CheongJu.csv,86,64.77446301778157,61.23089133368598
87,MBC_CheongJu.csv,87,64.7850268681844,61.21526845296224
88,MBC_CheongJu.csv,88,65.16039180755615,61.167628818088104
