epoch,train_loss,val_loss
1,40.890472852266754,35.78057278527154
2,39.64199005378472,35.28796588049995
3,39.786034531645726,35.95477612813314
4,39.55056232410473,35.17850324842665
5,39.80163989224277,34.86709690093994
6,39.40528312096229,34.91694524553087
7,39.27239063807896,35.10845163133409
8,39.47990868117783,34.53895282745361
9,39.34581184387207,34.620132552252876
10,39.112867460146056,34.38212415907118
11,38.97792459844233,33.972730212741425
12,38.825736978551845,35.774237632751465
13,38.688798275622695,33.77336714002821
14,38.885408757807134,33.95450899336073
15,38.44801624004658,33.49521679348416
16,38.55606294988276,33.47393947177463
17,38.23255354493529,33.25808048248291
18,38.61646666893592,33.627577251858185
19,38.31275822566106,33.20309988657633
20,38.47415081485287,33.221907191806366
21,38.348016382573725,33.25366083780924
22,38.133951543451666,33.159656842549644
23,38.18032870449863,33.278752432929146
24,38.43622255849314,33.06750700208876
25,38.23304314665742,33.08693631490072
26,38.071011889111865,33.95646328396268
27,38.19973027575147,33.06640338897705
28,38.38217196621738,33.040917502509224
29,38.208740758371874,33.482025888231064
30,38.511773581033225,33.03340646955702
31,38.251314456646256,33.09839884440104
32,38.12261132879571,33.04692628648546
33,38.01470507108248,33.15280554029677
34,38.313396852095046,33.33093293507894
35,38.092679621099116,33.08147430419922
36,38.08579231094528,33.19480980767144
37,38.195548298594716,33.618806733025444
38,38.20055156749683,33.102348221672905
39,37.983945636958865,32.920769373575844
40,38.310348426902685,33.012815157572426
41,38.182372040801,33.42062367333306
42,37.94754432845902,32.89736874898275
43,38.17033379942506,33.566026793585884
44,37.99642185588459,32.901901139153374
45,38.14999274369124,32.841287506951225
46,37.94945408747746,32.98847590552436
47,37.95832732483581,32.86310248904758
48,37.98508065611451,33.15493308173286
49,37.96075034927536,32.92382134331597
50,38.06905865931249,32.83724117279053
51,37.95916462992574,32.83975580003526
52,38.25195316691975,32.93161964416504
53,38.211796750079145,35.0595645904541
54,38.229834105942274,32.88395150502523
55,37.95372030237219,33.084107398986816
56,37.89170676011305,34.53700192769369
57,37.82011455493969,32.86024824778239
58,38.09880747113909,33.68476655748155
59,37.957414249797445,33.133425606621635
60,38.276523045131135,32.827485932244194
61,37.97584701370407,33.04599666595459
62,38.37001375051645,32.85419527689616
63,38.207771447988655,33.06433656480577
64,38.30654588636461,32.99788114759657
65,37.87598155095027,32.82023186153836
66,38.151574082426976,33.14469199710422
67,38.245917728969026,32.797038820054794
68,38.07822621523679,32.87875896030002
69,37.808164910955746,32.75180149078369
70,37.91943736652752,32.824768172370064
71,37.806480240035846,32.986710760328506
72,37.774494150182704,32.96814939710829
73,37.68209780179537,33.34420024024116
74,37.72686086382185,32.833607567681206
75,37.844877075362994,33.15469847785102
76,38.183808442000505,32.90914514329698
77,37.86938497522375,32.77197996775309
78,37.82249953720596,33.15160189734565
79,38.156271316192964,34.075107680426704
80,38.205844522832514,33.27061907450358
81,37.99837426824884,33.70897134145101
82,37.8473937694843,33.57996728685167
83,37.95473511664422,32.79940329657661
84,37.771674061869525,32.729104359944664
85,37.90107819274232,32.7927507824368
86,37.76435631972093,32.72244167327881
87,37.83084919688466,32.777275721232094
88,37.96380313412174,32.717285792032875
89,37.9686217046046,32.874206119113495
90,37.79300004309351,33.12165567609999
91,37.990786751548015,32.96248171064589
92,37.73045298817394,33.091332329644096
93,38.11172977908627,32.79080433315701
94,37.958375763107135,32.78581746419271
95,37.97758140144767,32.84312788645426
96,37.67872713948344,32.68407450781928
97,37.640327872810786,32.778205447726776
98,37.925021265889264,33.26818021138509
99,37.966977192805366,32.78067790137397
100,37.744450810191395,32.76158544752333
101,37.8888063116388,32.793284522162544
102,37.681819412734484,33.386965327792694
103,37.787622640421105,32.90777015686035
104,37.729507257650184,32.794287787543404
105,37.96763726119157,32.9022675620185
106,37.7625727391505,32.69837029774984
107,37.81731035421183,32.68851884206136
108,38.10820732535897,33.20643456776937
109,37.80188950339517,32.74345747629801
110,37.788119913457514,32.70125569237603
111,37.57342772431426,32.87838268280029
112,37.78855885516156,33.10614267985026
113,38.06797394385705,32.733862241109215
114,37.740298093020265,32.73530048794217
115,37.80265841641269,32.73252243465848
116,37.705679883013715,33.23183409372965
117,37.86410631452288,32.67596827612983
118,37.81585913438063,32.78389729393853
119,37.76976438669058,32.75644493103027
120,37.750121420556376,32.93547111087375
121,38.01626526130425,32.72796312967936
122,37.8516603406969,32.70013872782389
123,37.72330416165865,32.6965422100491
124,38.00388531108479,33.19847170511881
125,37.8252086010608,32.85002793206109
126,37.704481229677306,32.71315458085802
127,37.67984000405112,32.69815084669325
128,37.74382102882469,32.902041859096954
129,37.62523231925545,32.67855591244168
130,38.093471631898986,32.91922516292996
131,37.75628112960648,32.679201655917694
132,37.701962334769114,32.68686686621772
133,37.95001327598488,32.73147985670302
134,37.73126543485201,32.764071464538574
135,37.535358156476704,32.6549195183648
136,37.670283579564355,32.687935299343536
137,37.92425373622349,32.71954133775499
138,37.73931136498084,32.70771259731717
139,37.760964928092534,32.763542069329155
140,37.67676504365691,32.68761454688178
141,37.728425015460004,32.73512988620334
142,37.50771644089248,32.65549998813205
143,37.96598463792067,32.70336384243436
144,37.57132320613651,32.69165070851644
145,37.508416773198725,32.682029724121094
146,37.69029646653395,32.65833875868056
147,37.84988011370648,32.71144209967719
148,37.72311328007625,32.684960789150665
149,37.83748270391108,32.69030443827311
150,38.0432377071171,32.7117280960083
151,37.82616200289883,32.69079748789469
152,37.720796186845384,32.72381273905436
153,37.840963824764714,32.859777768452965
154,37.75492374713604,32.67731528811984
155,37.9887865297087,32.736208491855194
156,37.82487047635592,32.73655245039198
157,38.02430471483168,32.66948880089654
158,37.60173778743534,32.682850201924644
159,37.912107530530996,32.771928257412384
160,37.77573021689614,32.813519371880425
161,37.902064187186106,32.66820685068766
162,37.66246640551221,32.67492029401991
163,37.50925585987804,32.680598153008354
164,38.05785799550486,32.71305561065674
165,37.67311442029345,32.689920849270294
166,37.824527363200765,32.66065343221029
167,37.65059313931308,32.6649817360772
168,37.672386798229844,32.66785865359836
169,37.74966960948902,32.72710397508409
170,37.855678663148986,32.73364384969076
171,37.71184879344898,32.710572136773
172,37.59231074825748,32.6604978773329
173,37.66078554928958,32.68267525566949
174,37.841896224807904,32.76019414265951
175,37.776148282564606,32.693237410651314
176,37.807854683844596,32.660365634494354
177,37.60169169667003,32.66803412967258
178,37.573488319313135,32.65137608846029
179,37.65336705302144,32.65868780348036
180,37.68160612504561,32.6625010172526
181,37.789275557130246,32.6664777331882
182,37.76778814294836,32.668523682488335
183,37.775958931053076,32.66019757588705
184,38.05011156103113,32.65841897328695
185,37.62314310178652,32.65821107228597
186,37.886531515435856,32.67030154334174
187,37.506377482152246,32.66081534491645
188,37.7726318862412,32.673716968960235
189,37.62577828208169,32.66273170047336
190,37.70876966203962,32.66533162858751
191,37.50719611199347,32.665141105651855
192,37.61487451490465,32.665396796332466
193,37.49498667035784,32.65709400177002
194,37.62039029467237,32.66312959459093
195,37.67478161067753,32.668806393941246
196,37.639962898505914,32.665960523817276
197,37.53381976452503,32.6685995525784
198,37.58691620040726,32.668900913662384
199,37.654165959620215,32.66533841027154
200,37.532160329294726,32.667257414923775
