global_epoch,task,epoch_in_task,train_loss,val_loss
1,MBC_CheongJu.csv,1,200.0,200.0
2,MBC_CheongJu.csv,2,200.0,200.0
3,MBC_CheongJu.csv,3,200.0,200.0
4,MBC_CheongJu.csv,4,200.0,200.0
5,MBC_CheongJu.csv,5,200.0,200.0
6,MBC_CheongJu.csv,6,200.0,200.0
7,MBC_CheongJu.csv,7,200.0,200.0
8,MBC_CheongJu.csv,8,200.0,200.0
9,MBC_CheongJu.csv,9,200.0,200.0
10,MBC_CheongJu.csv,10,200.0,200.0
11,MBC_CheongJu.csv,11,200.0,200.0
12,MBC_CheongJu.csv,12,200.0,200.0
13,MBC_CheongJu.csv,13,189.48623106214734,170.55170186360678
14,MBC_CheongJu.csv,14,148.2170935736762,136.72054290771484
15,MBC_CheongJu.csv,15,128.02973153856067,117.74538167317708
16,MBC_CheongJu.csv,16,112.64392746819391,105.4896977742513
17,MBC_CheongJu.csv,17,104.58409542507596,99.81345113118489
18,MBC_CheongJu.csv,18,102.44195323520236,96.68709479437933
19,MBC_CheongJu.csv,19,99.19552527533637,96.07816992865668
20,MBC_CheongJu.csv,20,97.62843068440755,94.31489902072482
21,MBC_CheongJu.csv,21,97.66811879475911,95.26150258382161
22,MBC_CheongJu.csv,22,96.64270655314128,93.78836992051866
23,MBC_CheongJu.csv,23,96.84831428527832,93.73131985134549
24,MBC_CheongJu.csv,24,97.84497006734212,93.77725897894965
25,MBC_CheongJu.csv,25,97.08881653679742,93.77634599473741
26,MBC_CheongJu.csv,26,96.6936272515191,98.13584899902344
27,MBC_CheongJu.csv,27,97.81285222371419,94.64775254991319
28,MBC_CheongJu.csv,28,97.04358821445041,94.63439263237848
29,MBC_CheongJu.csv,29,96.74091042412653,94.75065188937717
30,MBC_CheongJu.csv,30,97.25272560119629,93.58760070800781
31,MBC_CheongJu.csv,31,96.55324872334798,93.74942101372613
32,MBC_CheongJu.csv,32,96.58387607998318,93.68345048692491
33,MBC_CheongJu.csv,33,96.83367686801486,93.71080186631944
34,MBC_CheongJu.csv,34,96.18090057373047,93.66717444525824
35,MBC_CheongJu.csv,35,96.93740484449599,93.61179436577692
36,MBC_CheongJu.csv,36,96.69888983832465,93.65667300754123
37,MBC_CheongJu.csv,37,96.0551856358846,93.94249047173395
38,MBC_CheongJu.csv,38,96.1342437532213,93.71252102322049
