epoch,train_loss,val_loss
1,28761.063096788195,28288.063802083332
2,28109.383734809027,27379.580512152777
3,26825.66921657986,25721.295355902777
4,24709.00759548611,23037.851128472223
5,21494.35031467014,19297.39865451389
6,17270.960774739582,14664.587565104166
7,12355.11292860243,9555.009548611111
8,7210.1241455078125,4616.76123046875
9,2813.5818447536894,1157.5419379340278
10,594.5550392998589,421.44754706488715
11,323.0818231370714,279.01590135362414
12,221.8887596130371,195.75902642144098
13,163.33515887790256,144.5605901082357
14,128.3694256676568,116.40973069932726
15,110.01479297214084,102.84786987304688
16,102.68593152364095,98.41875457763672
17,100.00656498803033,97.14594184027777
18,99.143402311537,96.16586473253038
19,97.7941385904948,94.88433583577473
20,97.28813849555121,94.07604217529297
21,97.30158954196506,93.95322502983942
22,97.62207624647353,94.65269639756944
23,96.65984365675185,94.58058505588107
24,96.57153977288141,94.88996039496527
25,97.62002478705512,94.12240685356988
26,96.69926600986057,93.70900132921007
27,96.86676237318251,94.19322797987196
28,96.7049446105957,94.70788998074002
29,97.14920722113715,93.79403177897136
30,96.66107071770563,94.10327741834853
31,96.65407477484808,94.41468895806207
32,96.94181781344943,93.62752024332683
33,96.51459142896864,93.7033928765191
34,97.23840416802301,93.62013075086806
35,97.97573937310113,93.59730105929904
36,96.70747057596843,95.69769032796223
37,97.41162957085504,93.55632442898221
38,99.0451119740804,93.88203769259982
39,97.20180935329861,97.96984185112848
40,97.6053540971544,95.28927527533637
41,97.92982779608832,95.90465376112196
42,97.54276275634766,94.27718014187283
43,96.88506560855441,93.57654741075304
44,97.14007377624512,93.65230984157986
45,97.05335299173991,93.63839213053386
46,97.66491656833225,93.71306610107422
47,97.85745769076877,93.91659376356337
48,96.46295250786676,94.57389407687717
49,96.13509612613254,94.0964601304796
50,96.76094584994846,95.49496629503038
51,96.93990569644504,93.88601175944011
52,97.29654630025227,94.0253643459744
53,97.20785522460938,94.07084062364366
54,96.94087918599446,93.64535098605685
55,96.64985656738281,93.6592551337348
56,96.02852906121149,93.63468424479167
57,97.25592825147841,94.50746324327257
58,96.75117852952745,93.92460208468967
59,97.18578486972385,93.57216389973958
60,96.81759368048773,93.67098575168185
61,97.37365383572049,93.84258524576823
62,97.29338794284396,93.90777672661676
63,96.49786207411024,93.54943593343098
64,98.95599725511339,93.61090426974826
65,97.874331580268,93.61192237006293
66,96.6029790242513,94.36903296576605
67,96.89629809061687,93.56995476616754
68,96.86014387342665,93.67407735188802
69,96.4747437371148,93.77618747287326
70,97.18483119540744,93.6306660970052
71,97.14877065022786,94.80840894911024
72,97.52198833889432,93.6404317220052
73,96.83648342556424,93.90193684895833
74,96.31944783528645,93.60799747043185
75,97.24668820699056,94.47138383653429
76,97.68204900953505,93.99379391140408
77,96.91390821668837,93.90240478515625
78,96.53664779663086,93.6255594889323
79,97.03966606987848,94.20711856418185
80,96.75281079610188,94.36651187472873
81,96.52758068508572,94.14704895019531
82,97.18190892537434,93.83948516845703
83,97.34977022806804,93.74245368109808
84,96.53742451137967,93.97691090901692
85,97.16608312394884,93.6854248046875
86,97.27626652187772,94.38513607449002
87,97.60761790805392,93.58981831868489
88,97.46480729844835,93.91163126627605
89,96.9654335445828,93.64356231689453
90,97.47965749104817,93.72852240668402
91,96.96802118089464,93.560789320204
92,98.3686154683431,93.5062238905165
93,96.7077693939209,94.50691223144531
94,97.75796593560113,93.6210445827908
95,97.43388345506456,93.60106658935547
96,96.51825099521213,93.74295467800565
97,97.13443332248264,96.30264875623915
98,97.35798687405057,93.65513186984592
99,97.65854899088542,93.80463155110677
100,97.98657692803278,96.35382249620226
