global_epoch,task,epoch_in_task,train_loss,val_loss
1,MBC_CheongJu.csv,1,200.0,200.0
2,MBC_CheongJu.csv,2,200.0,200.0
3,MBC_CheongJu.csv,3,200.0,200.0
4,MBC_CheongJu.csv,4,200.0,200.0
5,MBC_CheongJu.csv,5,200.0,200.0
6,MBC_CheongJu.csv,6,200.0,200.0
7,MBC_CheongJu.csv,7,200.0,200.0
8,MBC_CheongJu.csv,8,200.0,200.0
9,MBC_CheongJu.csv,9,200.0,200.0
10,MBC_CheongJu.csv,10,200.0,200.0
11,MBC_CheongJu.csv,11,200.0,200.0
12,MBC_CheongJu.csv,12,200.0,200.0
13,MBC_CheongJu.csv,13,174.75240156385632,156.7402089436849
14,MBC_CheongJu.csv,14,137.69512833489313,125.85031467013889
15,MBC_CheongJu.csv,15,117.03089184231229,109.1749504937066
16,MBC_CheongJu.csv,16,107.72663031684027,102.75549231635199
17,MBC_CheongJu.csv,17,103.08311631944444,99.00820922851562
18,MBC_CheongJu.csv,18,100.13224114312067,96.69811503092448
19,MBC_CheongJu.csv,19,98.50152036878798,95.04286702473958
20,MBC_CheongJu.csv,20,97.73392507765028,94.97317165798611
21,MBC_CheongJu.csv,21,97.81417677137587,94.53609551323785
22,MBC_CheongJu.csv,22,97.54066212972005,93.78342692057292
23,MBC_CheongJu.csv,23,96.73266580369737,93.9721213446723
24,MBC_CheongJu.csv,24,98.01925129360623,94.38632117377387
25,MBC_CheongJu.csv,25,98.16697629292806,93.95875803629558
26,MBC_CheongJu.csv,26,97.73681428697374,94.05775536431207
27,MBC_CheongJu.csv,27,97.12222544352214,93.81022135416667
28,MBC_CheongJu.csv,28,97.17522727118597,94.40603552924262
29,MBC_CheongJu.csv,29,97.1448171403673,96.3512946234809
30,MBC_CheongJu.csv,30,97.44386015997992,93.96387312147353
31,MBC_CheongJu.csv,31,96.54859373304579,94.04605526394315
32,MBC_CheongJu.csv,32,98.23483106825087,94.28710259331598
33,MBC_CheongJu.csv,33,97.1265114678277,95.27251858181424
34,MBC_CheongJu.csv,34,96.67293993631999,94.00780995686848
35,MBC_CheongJu.csv,35,97.38757281833225,94.3785637749566
36,MBC_CheongJu.csv,36,97.16949039035373,93.6709493001302
37,MBC_CheongJu.csv,37,97.53149668375652,94.07170698377821
38,MBC_CheongJu.csv,38,98.25062200758192,93.94108751085069
