num_tasks,method,avg_final_mse,bwt
2,ER,278.3859336089825,929.3123115796723
2,Naive,395.84558629905666,1209.3454020639483
3,ER,164.85798691898285,591.681862812922
3,Naive,218.28718331206463,595.2979695022954
4,ER,172.46748090291217,534.4138540580692
4,Naive,240.48362558472436,452.2591926233815
